"","geodis","category","bray_all","category1"
"394",42.45809271,"Local",0.152173913043478,"Local"
"395",45.29834139,"Local",0.223320158102767,"Local"
"396",55.90744383,"Local",0.284584980237154,"Local"
"397",88.09404029,"Local",0.284584980237154,"Local"
"398",88.0954009,"Local",0.327667984189723,"Local"
"399",88.14299068,"Local",0.249802371541502,"Local"
"400",88.44157532,"Local",0.274308300395257,"Local"
"401",89.83966598,"Local",0.232806324110672,"Local"
"402",95.62887687,"Local",0.273517786561265,"Local"
"403",0.4896101,"Local",0.270750988142292,"Local"
"404",2.937117189,"Local",0.315810276679842,"Local"
"405",7.832674776,"Local",0.344664031620553,"Local"
"406",17.62378995,"Local",0.285375494071146,"Local"
"407",37.2060203,"Local",0.260869565217391,"Local"
"408",2.447507089,"Local",0.35098814229249,"Local"
"409",7.343064676,"Local",0.387747035573123,"Local"
"410",17.13417985,"Local",0.341106719367589,"Local"
"411",36.7164102,"Local",0.312648221343874,"Local"
"412",4.895557587,"Local",0.129249011857708,"Local"
"413",14.68667276,"Local",0.221739130434783,"Local"
"414",34.26890311,"Local",0.297628458498024,"Local"
"415",9.791115173,"Local",0.238339920948617,"Local"
"416",29.37334552,"Local",0.319762845849802,"Local"
"417",19.58223035,"Local",0.258498023715415,"Local"
"418",5.794162758,"Local",0.292490118577075,"Local"
"419",17.38248813,"Local",0.272332015810277,"Local"
"420",40.57028096,"Local",0.287747035573123,"Local"
"421",86.93472182,"Local",0.888537549407115,"Local"
"422",1.158832553,"Local",0.809486166007905,"Local"
"423",1.258237946,"Local",0.820948616600791,"Local"
"424",3.160602383,"Local",0.8300395256917,"Local"
"425",7.9268472,"Local",0.275494071146245,"Local"
"426",17.68207598,"Local",0.789328063241107,"Local"
"427",37.26683839,"Local",0.839920948616601,"Local"
"428",11.58832537,"Local",0.312252964426877,"Local"
"429",34.7761182,"Local",0.192094861660079,"Local"
"430",81.14055906,"Local",0.946640316205534,"Local"
"431",6.952995311,"Local",0.90395256916996,"Local"
"432",6.970252078,"Local",0.892094861660079,"Local"
"433",7.549216672,"Local",0.913438735177866,"Local"
"434",10.48027944,"Local",0.254940711462451,"Local"
"435",18.96463991,"Local",0.924505928853755,"Local"
"436",37.89222541,"Local",0.909881422924901,"Local"
"437",23.18779283,"Local",0.288142292490119,"Local"
"438",69.55223369,"Local",0.858893280632411,"Local"
"439",18.54132068,"Local",0.825296442687747,"Local"
"440",18.54779889,"Local",0.809881422924901,"Local"
"441",18.77304262,"Local",0.830830039525692,"Local"
"442",20.13139055,"Local",0.254940711462451,"Local"
"443",25.59482382,"Local",0.853359683794466,"Local"
"444",41.60843279,"Local",0.827272727272727,"Local"
"445",46.36444086,"Local",0.880632411067194,"Local"
"446",41.72911351,"Local",0.858498023715415,"Local"
"447",41.73199237,"Local",0.851778656126482,"Local"
"448",41.8325893,"Local",0.880237154150198,"Local"
"449",42.45952928,"Local",0.218577075098814,"Local"
"450",45.30601914,"Local",0.900790513833992,"Local"
"451",55.93575809,"Local",0.857312252964427,"Local"
"452",88.09355437,"Local",0.681818181818182,"Local"
"453",88.09491811,"Local",0.694071146245059,"Local"
"454",88.14261765,"Local",0.646245059288538,"Local"
"455",88.44188958,"Local",0.857312252964427,"Local"
"456",89.84316791,"Local",0.793675889328063,"Local"
"457",95.64508591,"Local",0.679446640316205,"Local"
"458",0.490173197,"Local",0.545849802371541,"Local"
"459",2.94049515,"Local",0.571936758893281,"Local"
"460",7.84168309,"Local",0.801581027667984,"Local"
"461",17.64405897,"Local",0.661264822134387,"Local"
"462",37.24881072,"Local",0.615415019762846,"Local"
"463",2.450321953,"Local",0.542292490118577,"Local"
"464",7.351509893,"Local",0.789328063241107,"Local"
"465",17.15388577,"Local",0.709486166007905,"Local"
"466",36.75863753,"Local",0.596837944664032,"Local"
"467",4.901187939,"Local",0.799604743083004,"Local"
"468",14.70356382,"Local",0.695256916996047,"Local"
"469",34.30831557,"Local",0.609881422924901,"Local"
"470",9.802375878,"Local",0.839130434782609,"Local"
"471",29.40712763,"Local",0.787351778656126,"Local"
"472",19.60475176,"Local",0.736758893280632,"Local"
"473",5.794153927,"Local",0.720158102766798,"Local"
"474",17.38246165,"Local",0.44901185770751,"Local"
"475",40.57021914,"Local",0.479446640316206,"Local"
"476",86.93458936,"Local",0.46798418972332,"Local"
"477",1.158830792,"Local",0.332806324110672,"Local"
"478",1.258296877,"Local",0.426086956521739,"Local"
"479",3.161469148,"Local",0.381422924901186,"Local"
"480",7.92930654,"Local",0.448616600790514,"Local"
"481",17.6876581,"Local",0.466798418972332,"Local"
"482",37.27864282,"Local",0.466798418972332,"Local"
"483",11.58830772,"Local",0.873122529644269,"Local"
"484",34.77606522,"Local",0.911462450592885,"Local"
"485",81.14043544,"Local",0.908300395256917,"Local"
"486",6.952984719,"Local",0.760079051383399,"Local"
"487",6.970252443,"Local",0.681818181818182,"Local"
"488",7.549570114,"Local",0.820158102766798,"Local"
"489",10.48213288,"Local",0.820158102766798,"Local"
"490",18.96984086,"Local",0.89802371541502,"Local"
"491",37.90383319,"Local",0.918577075098814,"Local"
"492",23.1877575,"Local",0.188932806324111,"Local"
"493",69.55212772,"Local",0.196837944664032,"Local"
"494",18.54129244,"Local",0.25296442687747,"Local"
"495",18.54777476,"Local",0.519367588932806,"Local"
"496",18.77316078,"Local",0.226877470355731,"Local"
"497",20.13233315,"Local",0.18102766798419,"Local"
"498",25.59866015,"Local",0.365217391304348,"Local"
"499",41.61899331,"Local",0.250197628458498,"Local"
"500",46.36437022,"Local",0.147826086956522,"Local"
"501",41.72904994,"Local",0.293675889328063,"Local"
"502",41.73193062,"Local",0.626086956521739,"Local"
"503",41.83259142,"Local",0.24703557312253,"Local"
"504",42.45992606,"Local",0.203557312252964,"Local"
"505",45.30813953,"Local",0.358102766798419,"Local"
"506",55.94357605,"Local",0.259683794466403,"Local"
"507",88.09342016,"Local",0.300790513833992,"Local"
"508",88.09478477,"Local",0.623715415019763,"Local"
"509",88.14251462,"Local",0.242687747035573,"Local"
"510",88.44197638,"Local",0.210671936758893,"Local"
"511",89.84413513,"Local",0.356521739130435,"Local"
"512",95.64956242,"Local",0.254150197628458,"Local"
"513",0.490328613,"Local",0.473122529644269,"Local"
"514",2.941427471,"Local",0.218577075098814,"Local"
"515",7.844169391,"Local",0.257707509881423,"Local"
"516",17.64965323,"Local",0.336363636363636,"Local"
"517",37.26062092,"Local",0.288142292490119,"Local"
"518",2.451098858,"Local",0.541106719367589,"Local"
"519",7.353840779,"Local",0.571541501976285,"Local"
"520",17.15932462,"Local",0.601185770750988,"Local"
"521",36.7702923,"Local",0.611462450592885,"Local"
"522",4.902741921,"Local",0.20197628458498,"Local"
"523",14.70822576,"Local",0.329249011857707,"Local"
"524",34.31919344,"Local",0.256521739130435,"Local"
"525",9.805483841,"Local",0.340711462450593,"Local"
"526",29.41645152,"Local",0.254940711462451,"Local"
"527",19.61096768,"Local",0.359683794466403,"Local"
"528",5.796062525,"Local",0.569565217391304,"Local"
"529",17.38818745,"Local",0.554940711462451,"Local"
"530",40.58358305,"Local",0.813438735177866,"Local"
"531",86.96322592,"Local",0.705533596837945,"Local"
"532",1.159212511,"Local",0.665612648221344,"Local"
"533",1.245492087,"Local",0.564426877470356,"Local"
"534",2.968194519,"Local",0.672727272727273,"Local"
"535",7.378558216,"Local",0.647826086956522,"Local"
